"12983: Deaths. Preliminary figures, by contents, region, sex, age, month and year"

"contents";"region";"sex";"age";"month";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Deaths";"K-3001 Halden";"Males";"80 years or older";"november";3;7;4;5;8;8;6;5;9;5;4;3;6;10;5;3;6;8;5;3;5;4;0
"Deaths";"K-3001 Halden";"Males";"80 years or older";"December";3;2;7;8;5;1;9;4;6;8;10;18;6;5;8;3;9;7;7;10;8;2;0
"Deaths";"K-3001 Halden";"Females";"0-64 years";"July";2;2;3;2;0;0;1;1;1;1;2;2;2;2;2;1;1;1;2;1;2;2;0
"Deaths";"K-3001 Halden";"Females";"0-64 years";"August";2;0;1;0;3;0;0;0;2;0;2;1;1;3;1;1;1;1;0;2;1;2;0
"Deaths";"K-3001 Halden";"Females";"0-64 years";"September";1;1;0;1;3;1;1;0;0;0;3;1;2;0;1;0;1;1;0;0;0;0;0
"Deaths";"K-3001 Halden";"Females";"0-64 years";"October";2;0;0;2;1;2;0;1;2;2;4;2;0;0;2;2;3;1;1;0;0;1;0
"Deaths";"K-3001 Halden";"Females";"0-64 years";"november";2;0;3;4;3;0;1;1;3;2;0;0;0;5;2;0;2;2;1;1;0;4;0
"Deaths";"K-3001 Halden";"Females";"0-64 years";"December";1;0;3;1;4;0;1;1;3;5;1;0;0;3;3;0;0;0;0;1;0;1;0
"Deaths";"K-3001 Halden";"Females";"65-79 years";"July";3;1;6;1;3;4;0;4;0;2;5;1;0;2;3;3;2;2;4;2;3;3;0
"Deaths";"K-3001 Halden";"Females";"65-79 years";"August";3;4;4;0;1;2;2;0;1;1;4;2;4;4;2;4;5;4;3;3;3;1;0
"Deaths";"K-3001 Halden";"Females";"65-79 years";"September";7;7;1;2;2;3;5;1;1;0;6;4;1;1;1;5;2;2;3;2;4;4;0
"Deaths";"K-3001 Halden";"Females";"65-79 years";"October";3;4;1;1;6;2;0;0;3;1;2;3;2;1;2;1;2;3;3;2;3;5;0
"Deaths";"K-3001 Halden";"Females";"65-79 years";"november";6;7;4;6;4;1;2;6;4;3;0;3;1;3;7;2;2;2;1;0;1;3;0
"Deaths";"K-3001 Halden";"Females";"65-79 years";"December";4;4;12;5;2;3;7;0;2;3;3;2;2;4;4;3;5;2;1;2;3;6;0
"Deaths";"K-3001 Halden";"Females";"80 years or older";"July";10;11;12;6;7;14;13;9;6;6;9;5;7;8;7;8;9;6;5;10;9;6;0
"Deaths";"K-3001 Halden";"Females";"80 years or older";"August";4;5;7;10;6;11;7;13;7;8;5;10;8;9;13;6;8;6;6;7;14;5;0
"Deaths";"K-3001 Halden";"Females";"80 years or older";"September";10;9;7;7;9;10;7;13;6;5;13;2;12;6;17;9;8;6;14;6;4;7;0
"Deaths";"K-3001 Halden";"Females";"80 years or older";"October";12;11;11;8;12;8;8;9;10;10;5;11;9;8;10;6;7;10;7;10;9;5;0
"Deaths";"K-3001 Halden";"Females";"80 years or older";"november";4;10;8;7;14;9;10;7;6;8;10;9;7;6;17;9;11;7;7;7;6;3;0
"Deaths";"K-3001 Halden";"Females";"80 years or older";"December";8;11;12;8;13;9;12;8;12;7;12;12;12;9;8;10;7;7;7;9;2;15;0
"Deaths";"K-3002 Moss";"Males";"0-64 years";"July";2;4;5;3;0;3;5;1;3;3;2;5;2;6;0;1;2;4;2;3;5;2;0
"Deaths";"K-3002 Moss";"Males";"0-64 years";"August";6;2;4;4;0;1;3;1;2;7;8;7;10;6;7;3;3;0;6;1;4;6;0
"Deaths";"K-3002 Moss";"Males";"0-64 years";"September";0;3;7;8;3;6;6;5;0;7;2;3;5;3;4;4;6;3;3;2;3;0;0
"Deaths";"K-3002 Moss";"Males";"0-64 years";"October";8;1;3;3;5;1;3;5;6;6;9;3;4;1;3;2;2;6;2;7;1;4;0
"Deaths";"K-3002 Moss";"Males";"0-64 years";"november";5;1;3;3;6;4;5;3;5;4;4;5;4;2;0;2;4;1;2;2;5;4;0
"Deaths";"K-3002 Moss";"Males";"0-64 years";"December";1;4;5;4;6;3;3;4;5;5;1;2;5;5;4;3;10;1;0;3;5;5;0
"Deaths";"K-3002 Moss";"Males";"65-79 years";"July";4;6;8;4;7;6;4;3;2;3;5;5;4;10;3;2;5;7;2;7;10;6;0
"Deaths";"K-3002 Moss";"Males";"65-79 years";"August";3;6;6;3;3;5;2;1;7;5;7;5;2;5;8;6;4;4;5;7;3;4;0
"Deaths";"K-3002 Moss";"Males";"65-79 years";"September";4;4;4;7;4;7;6;6;8;5;3;1;4;4;6;6;8;8;3;6;4;6;0
"Deaths";"K-3002 Moss";"Males";"65-79 years";"October";7;6;2;6;8;6;4;6;6;6;6;5;7;4;6;6;7;4;7;7;5;12;0
"Deaths";"K-3002 Moss";"Males";"65-79 years";"november";8;6;10;8;8;7;6;6;5;3;5;6;10;5;7;7;9;7;8;6;3;9;0
"Deaths";"K-3002 Moss";"Males";"65-79 years";"December";6;6;4;7;3;6;9;5;2;12;6;3;4;6;4;7;3;3;10;7;4;4;0
"Deaths";"K-3002 Moss";"Males";"80 years or older";"July";3;3;7;8;4;7;8;6;3;9;7;3;6;9;7;7;5;5;11;6;8;4;0
"Deaths";"K-3002 Moss";"Males";"80 years or older";"August";4;5;5;11;9;5;10;3;5;5;6;7;6;6;6;4;12;8;7;5;7;12;0
"Deaths";"K-3002 Moss";"Males";"80 years or older";"September";7;7;12;1;9;8;6;10;7;4;4;6;6;6;6;4;8;3;5;4;9;9;0
"Deaths";"K-3002 Moss";"Males";"80 years or older";"October";9;8;4;5;9;5;8;7;5;1;11;8;4;7;7;4;5;8;6;7;6;15;0
"Deaths";"K-3002 Moss";"Males";"80 years or older";"november";7;8;7;10;7;3;7;9;9;8;4;8;9;8;4;10;12;3;14;5;7;5;0
"Deaths";"K-3002 Moss";"Males";"80 years or older";"December";7;11;3;7;3;3;5;9;11;9;9;4;10;12;7;10;18;17;6;4;11;11;0
"Deaths";"K-3002 Moss";"Females";"0-64 years";"July";3;2;6;2;0;3;0;0;1;4;1;4;3;4;1;0;2;3;2;0;1;4;0
"Deaths";"K-3002 Moss";"Females";"0-64 years";"August";4;0;3;1;1;4;2;3;4;0;3;4;4;4;0;1;3;2;0;3;1;3;0
"Deaths";"K-3002 Moss";"Females";"0-64 years";"September";5;2;3;2;3;3;2;4;3;2;1;1;6;1;3;1;0;1;0;1;2;1;0
"Deaths";"K-3002 Moss";"Females";"0-64 years";"October";5;1;2;1;3;1;7;3;1;2;1;0;2;4;2;0;3;3;1;4;2;2;0
"Deaths";"K-3002 Moss";"Females";"0-64 years";"november";2;1;2;3;1;4;5;2;1;2;4;2;4;1;3;0;3;1;0;2;1;3;0
"Deaths";"K-3002 Moss";"Females";"0-64 years";"December";2;2;3;5;1;4;0;2;0;2;1;3;4;1;2;2;4;1;3;6;1;4;0
"Deaths";"K-3002 Moss";"Females";"65-79 years";"July";2;3;5;3;2;5;1;5;10;1;7;5;2;1;7;3;6;7;6;7;6;6;0
"Deaths";"K-3002 Moss";"Females";"65-79 years";"August";4;6;9;4;4;0;3;4;1;5;3;5;3;8;2;3;2;3;3;3;5;8;0
"Deaths";"K-3002 Moss";"Females";"65-79 years";"September";4;5;6;5;5;2;3;7;8;1;3;1;7;5;4;7;4;2;2;5;6;5;0
"Deaths";"K-3002 Moss";"Females";"65-79 years";"October";4;5;5;0;2;5;3;2;4;3;11;2;4;8;4;5;6;5;6;5;3;4;0
"Deaths";"K-3002 Moss";"Females";"65-79 years";"november";3;7;8;4;6;2;5;2;1;2;6;7;7;7;4;4;3;3;4;4;5;4;0
"Deaths";"K-3002 Moss";"Females";"65-79 years";"December";4;6;3;5;3;0;6;3;9;4;6;9;5;3;4;4;8;4;4;3;4;2;0
"Deaths";"K-3002 Moss";"Females";"80 years or older";"July";11;8;7;9;7;17;12;8;16;8;10;10;6;12;12;9;13;12;6;11;15;9;0
"Deaths";"K-3002 Moss";"Females";"80 years or older";"August";9;8;10;14;10;8;14;13;8;15;8;14;9;6;8;9;8;6;6;14;11;13;0
"Deaths";"K-3002 Moss";"Females";"80 years or older";"September";11;7;10;9;17;9;13;12;11;12;15;8;8;10;10;7;10;6;8;11;11;10;0
"Deaths";"K-3002 Moss";"Females";"80 years or older";"October";6;9;23;11;5;8;14;9;12;8;12;11;14;13;11;15;10;4;13;19;11;13;0
"Deaths";"K-3002 Moss";"Females";"80 years or older";"november";9;8;10;19;5;13;13;14;10;8;11;11;15;11;11;8;13;11;12;16;10;17;0
"Deaths";"K-3002 Moss";"Females";"80 years or older";"December";12;10;9;14;19;9;13;19;7;11;13;15;12;9;12;16;21;20;14;9;15;12;0
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"July";3;2;4;2;6;4;6;4;6;4;2;6;3;4;5;3;2;3;6;3;6;5;0
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"August";8;5;8;3;3;5;6;5;4;3;3;4;4;4;2;4;4;6;4;2;0;4;0
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"September";7;2;3;5;3;7;9;3;2;6;8;2;2;6;4;4;3;1;3;3;5;1;0
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"October";4;3;2;2;6;2;8;5;4;3;4;3;5;6;9;0;5;0;4;4;2;2;0
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"november";8;3;4;4;7;5;4;6;3;2;5;4;3;3;5;2;1;3;0;1;2;3;0
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"December";3;6;5;10;13;4;7;4;3;5;4;2;4;3;4;2;7;1;3;2;1;4;0
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"July";5;7;7;10;10;6;4;3;7;3;4;6;4;8;6;3;10;9;9;8;4;6;0
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"August";7;9;6;5;9;9;5;8;4;5;5;8;6;11;14;7;12;4;7;9;1;8;0
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"September";7;10;6;6;3;6;9;8;5;6;6;8;10;5;6;6;10;5;8;9;9;4;0
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"October";4;6;5;8;9;4;8;9;7;8;8;2;10;4;4;10;7;6;12;11;12;6;0
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"november";6;12;4;7;6;6;4;5;6;8;2;8;3;3;4;7;6;5;7;14;14;10;0
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"December";7;8;11;6;8;8;9;4;12;6;6;8;7;11;3;6;6;5;6;6;7;8;0
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"July";8;4;13;8;6;6;2;8;11;9;7;8;6;12;11;7;7;10;10;13;11;10;0
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"August";10;9;10;3;7;11;6;8;8;11;6;12;6;4;11;5;7;7;10;16;10;8;0
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"September";13;5;8;6;8;7;6;10;11;7;12;6;7;5;12;4;7;6;14;10;11;6;0
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"October";9;3;11;5;8;5;10;11;11;6;14;7;15;7;9;9;12;10;11;10;12;13;0
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"november";9;8;12;14;9;5;9;11;8;10;11;8;7;9;8;11;6;8;7;11;12;6;0
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"December";12;10;14;8;15;8;11;11;15;8;15;9;13;17;7;13;9;7;11;12;11;11;0
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"July";1;7;3;2;3;3;3;2;2;2;4;5;4;2;2;2;4;3;2;2;2;2;0
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"August";1;4;1;4;2;2;5;2;1;3;1;1;2;4;0;1;2;3;5;0;2;1;0
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"September";2;4;2;5;4;3;3;5;1;3;4;3;0;3;5;2;0;1;1;1;0;1;0
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"October";5;1;3;2;1;0;1;2;1;2;1;4;3;2;2;3;5;1;3;3;2;2;0
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"november";0;2;6;5;4;5;3;1;3;2;4;2;0;1;2;3;1;3;1;4;1;1;0
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"December";5;6;3;3;5;4;1;0;3;2;2;2;3;2;3;3;4;1;2;2;0;1;0
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"July";1;3;6;3;2;6;5;2;5;3;5;6;9;6;5;5;4;7;3;5;5;7;0
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"August";5;5;5;5;3;5;3;5;3;6;4;9;4;2;3;6;7;7;4;6;12;5;0
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"September";6;2;11;3;8;6;6;3;8;6;4;6;6;4;5;7;6;4;5;4;3;9;0
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"October";5;6;11;8;4;4;3;14;3;3;7;5;1;6;8;4;1;10;7;6;6;4;0
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"november";4;6;4;8;5;4;2;8;4;6;9;1;5;4;5;2;3;2;1;6;3;3;0
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"December";7;11;2;5;6;10;5;6;1;2;7;4;5;6;5;5;7;6;7;7;3;5;0
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"July";15;15;11;14;6;13;18;17;19;10;10;14;9;14;14;12;10;11;14;11;13;18;0
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"August";10;15;15;11;9;11;12;16;10;11;14;11;10;13;14;11;10;14;15;16;12;17;0
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"September";13;16;15;9;12;14;15;10;12;8;23;14;17;17;19;14;12;13;14;12;10;14;0
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"October";10;6;9;10;18;15;15;10;10;20;14;16;19;16;12;15;11;11;9;15;15;19;0
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"november";12;15;6;11;19;12;17;10;14;12;16;13;22;12;18;11;10;16;16;17;12;16;0
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"December";15;10;11;20;19;16;9;22;15;9;17;10;9;22;10;9;18;18;24;10;16;22;0
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"July";5;8;6;10;6;6;5;7;11;3;4;2;5;1;4;6;1;8;7;4;6;5;0
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"August";3;8;1;4;10;9;11;4;11;8;4;8;10;7;3;2;2;3;6;0;0;5;0
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"September";6;4;4;4;7;6;9;7;5;5;5;2;2;8;4;3;3;4;1;4;4;8;0
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"October";10;5;9;2;10;6;7;8;4;7;4;5;3;10;4;6;2;8;5;4;2;5;0
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"november";6;8;9;11;7;3;5;7;6;7;7;6;4;5;6;5;5;2;4;5;3;3;0
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"December";4;6;9;5;6;8;6;8;4;4;11;4;7;3;4;5;2;5;1;5;6;2;0
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"July";11;16;11;8;7;8;10;5;10;6;14;7;4;11;7;16;13;15;6;8;9;13;0
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"August";12;13;15;8;12;7;2;7;11;12;5;18;13;13;12;7;7;14;11;8;7;14;0
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"September";14;11;15;10;5;12;10;7;9;16;15;10;8;8;7;9;12;1;6;8;9;6;0
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"October";17;13;15;11;7;9;8;12;7;7;12;7;7;6;6;4;8;8;15;12;4;7;0
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"november";10;19;17;7;14;5;7;8;8;8;13;10;10;9;11;9;11;6;7;17;11;18;0
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"December";15;11;10;13;13;8;7;11;11;3;12;7;12;16;6;14;6;11;11;5;8;8;0
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"July";12;6;9;13;16;12;18;14;14;17;9;11;8;10;21;12;19;7;12;13;13;10;0
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"August";10;11;17;10;6;9;7;15;10;8;13;14;12;6;11;14;10;10;11;13;16;9;0
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"September";11;7;11;14;11;5;16;14;8;7;15;13;9;15;11;9;18;11;14;6;15;24;0
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"October";11;16;6;13;8;12;12;16;15;7;18;14;23;12;10;12;11;7;11;17;18;15;0
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"november";15;13;9;11;14;10;8;15;12;10;14;15;12;21;13;14;14;9;12;11;13;14;0
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"December";16;13;18;20;13;9;11;13;13;18;12;15;16;13;16;19;17;16;15;16;12;10;0
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"July";2;2;2;0;10;1;2;2;7;1;3;10;3;1;3;4;1;2;2;3;2;2;0
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"August";4;3;2;4;8;1;2;3;5;3;2;2;5;2;2;0;4;6;5;3;2;4;0
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"September";1;10;4;2;3;1;3;0;5;4;7;2;4;4;4;4;4;5;4;3;9;3;0
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"October";4;3;5;3;7;3;4;1;2;3;2;1;2;5;0;3;5;2;4;3;2;0;0
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"november";7;6;5;3;6;5;2;3;2;2;4;6;2;5;5;5;4;0;3;5;2;2;0
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"December";1;3;3;3;1;3;4;5;3;1;3;5;2;3;5;2;3;4;2;3;1;6;0
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"July";7;3;8;9;7;6;10;5;11;9;9;9;4;5;8;6;8;6;2;9;7;8;0
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"August";12;7;8;6;8;9;4;13;3;6;7;4;8;13;6;8;6;10;5;6;10;9;0
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"September";5;5;8;11;6;3;5;13;11;10;6;5;9;6;3;2;6;5;9;8;15;13;0
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"October";9;8;15;11;8;6;5;6;5;8;5;3;7;6;6;9;9;5;10;10;13;7;0
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"november";7;8;6;10;6;5;7;9;3;12;8;13;10;4;10;7;7;7;8;12;10;5;0
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"December";11;9;8;9;6;5;6;7;9;8;6;8;9;6;14;11;8;9;9;9;1;6;0
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"July";28;18;20;30;19;17;17;13;21;30;22;17;20;22;27;12;21;22;21;11;21;15;0
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"August";14;23;22;14;15;21;11;22;29;22;21;16;24;16;13;28;19;14;16;17;16;24;0
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"September";23;19;18;23;17;19;19;18;15;18;17;21;16;15;16;13;13;18;15;17;10;18;0
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"October";24;19;15;18;25;24;19;26;24;21;19;23;25;23;21;21;20;18;12;16;16;18;0
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"november";25;14;24;26;20;18;19;19;22;22;19;18;24;21;19;12;29;19;17;22;21;26;0
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"December";20;19;31;29;23;22;15;26;27;18;17;33;24;24;23;29;31;25;18;19;19;31;0
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"July";3;8;8;9;11;8;10;7;4;5;6;11;9;7;13;5;6;6;5;6;6;7;0
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"August";17;11;4;7;8;10;7;8;8;5;6;14;11;11;14;5;4;6;6;5;4;8;0
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"September";3;9;7;10;3;6;7;6;10;6;2;6;2;8;5;2;9;5;3;5;3;7;0
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"October";6;4;10;9;3;6;8;10;6;6;8;11;0;7;8;5;6;5;1;11;4;10;0
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"november";10;8;7;5;6;8;13;4;7;11;13;8;4;6;8;7;2;5;5;5;2;7;0
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"December";12;9;8;4;10;8;8;11;5;2;10;7;7;3;8;7;10;8;6;7;7;11;0
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"July";11;12;14;9;9;8;15;7;8;9;11;9;8;12;8;11;8;8;7;11;20;14;0
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"August";17;10;15;7;8;7;6;6;12;9;11;7;9;8;9;16;13;9;9;15;14;10;0
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"September";13;8;10;12;9;8;12;5;7;7;9;10;9;7;8;15;7;13;5;11;9;11;0
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"October";11;14;13;10;5;17;10;9;12;15;12;8;18;9;14;13;12;9;8;15;14;13;0
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"november";9;17;10;8;6;10;7;8;17;9;12;7;4;11;11;10;18;6;11;14;11;17;0
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"December";17;13;16;11;10;13;12;14;8;10;14;12;13;13;7;11;14;10;8;12;8;11;0
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"July";13;11;7;9;13;15;12;10;11;10;12;14;13;11;16;9;12;12;15;14;13;21;0
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"August";10;12;16;7;15;10;11;8;18;10;16;13;12;19;14;12;20;15;13;10;13;8;0
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"September";7;19;14;14;7;13;16;9;12;16;8;11;9;13;9;9;13;14;13;9;17;15;0
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"October";8;14;19;12;13;15;14;9;14;15;9;7;17;18;19;9;15;8;8;20;19;12;0
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"november";15;13;13;8;17;9;10;11;17;14;17;13;12;10;16;17;17;16;13;15;14;19;0
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"December";21;16;15;11;13;15;13;10;20;14;18;16;16;26;24;11;18;10;19;15;17;20;0
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"July";6;10;6;1;7;1;5;9;8;6;7;11;1;4;4;3;5;4;4;6;5;6;0
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"August";4;1;2;5;2;5;8;8;6;5;5;2;4;9;7;4;9;6;4;6;3;5;0
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"September";8;3;5;0;1;0;5;4;8;4;4;2;4;2;5;2;5;1;3;6;3;1;0
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"October";7;3;5;6;6;5;5;3;5;4;5;7;3;1;6;5;1;4;7;4;4;4;0
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"november";1;4;4;4;7;9;10;7;5;2;4;3;4;2;3;2;4;6;3;4;3;6;0
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"December";3;3;3;9;8;2;3;4;3;9;6;5;5;6;1;1;3;2;3;5;3;4;0
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"July";5;7;6;8;9;8;8;6;3;6;10;8;6;8;6;8;9;7;10;5;11;9;0
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"August";9;8;7;8;10;9;5;10;3;2;5;1;7;9;8;9;6;6;11;8;12;10;0
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"September";10;7;12;4;7;10;10;5;4;2;4;5;7;6;14;9;4;13;7;5;11;12;0
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"October";9;13;5;6;7;9;7;9;5;11;8;9;12;10;7;10;9;8;3;8;5;4;0
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"november";5;8;12;11;9;9;9;7;3;6;8;8;4;12;10;6;7;10;9;8;8;5;0
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"December";13;12;14;7;7;8;15;14;9;5;10;7;10;11;5;7;4;11;10;15;9;13;0
"Deaths";"K-3005 Drammen";"Females";"80 years or older";"July";22;15;24;23;22;18;22;29;23;15;31;9;26;18;21;13;19;29;14;26;16;13;0
"Deaths";"K-3005 Drammen";"Females";"80 years or older";"August";22;35;20;21;21;19;23;23;27;28;18;25;20;20;17;22;13;19;15;22;20;21;0
