"12983: Deaths. Preliminary figures, by contents, region, sex, age, month and year"

"contents";"region";"sex";"age";"month";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Deaths";"K-3001 Halden";"Females";"65-79 years";"January";4;3;6;2;3;2;4;0;2;5;2;5;0;6;5;2;1;0;5;4;3;7;6
"Deaths";"K-3001 Halden";"Females";"65-79 years";"February";2;5;2;4;3;5;1;1;7;2;1;5;1;2;1;3;2;2;6;5;1;2;6
"Deaths";"K-3001 Halden";"Females";"65-79 years";"March";4;3;4;3;3;4;3;2;4;4;5;1;2;2;3;6;3;5;4;3;5;4;4
"Deaths";"K-3001 Halden";"Females";"65-79 years";"April";1;2;5;4;2;1;1;3;1;4;3;5;4;2;3;2;2;2;2;4;4;1;3
"Deaths";"K-3001 Halden";"Females";"65-79 years";"May";2;3;3;3;4;6;4;4;0;3;2;1;2;3;5;1;5;5;1;2;2;3;5
"Deaths";"K-3001 Halden";"Females";"65-79 years";"June";2;5;4;3;3;2;3;2;3;2;3;5;4;4;5;6;1;1;6;4;2;4;0
"Deaths";"K-3001 Halden";"Females";"80 years or older";"January";14;15;12;13;6;8;7;13;15;10;10;16;6;9;15;11;4;12;12;6;8;10;8
"Deaths";"K-3001 Halden";"Females";"80 years or older";"February";11;16;6;7;10;10;12;14;5;6;6;13;10;9;10;11;8;7;8;10;10;7;7
"Deaths";"K-3001 Halden";"Females";"80 years or older";"March";7;6;10;9;10;11;3;7;12;7;15;10;4;13;15;14;7;7;9;6;7;5;7
"Deaths";"K-3001 Halden";"Females";"80 years or older";"April";2;9;7;11;12;9;9;10;5;8;11;10;11;8;6;8;8;7;13;15;8;13;4
"Deaths";"K-3001 Halden";"Females";"80 years or older";"May";7;4;7;3;9;6;10;5;10;6;12;6;6;9;9;9;8;8;6;12;5;5;3
"Deaths";"K-3001 Halden";"Females";"80 years or older";"June";7;13;4;5;12;8;7;8;8;6;11;10;8;11;5;7;4;9;6;10;8;4;0
"Deaths";"K-3002 Moss";"Males";"0-64 years";"January";1;3;6;2;7;1;6;6;4;5;3;5;2;3;2;6;3;2;2;5;2;4;1
"Deaths";"K-3002 Moss";"Males";"0-64 years";"February";5;8;5;5;6;2;8;3;2;4;5;3;3;7;2;3;2;4;6;4;6;8;4
"Deaths";"K-3002 Moss";"Males";"0-64 years";"March";6;4;4;4;4;6;3;1;3;5;4;4;1;5;4;3;3;3;5;3;5;2;2
"Deaths";"K-3002 Moss";"Males";"0-64 years";"April";4;1;1;3;6;5;3;2;5;6;3;4;2;3;4;1;2;1;2;3;2;7;5
"Deaths";"K-3002 Moss";"Males";"0-64 years";"May";1;1;2;3;3;4;4;4;3;4;2;4;2;3;3;3;5;3;5;1;1;0;2
"Deaths";"K-3002 Moss";"Males";"0-64 years";"June";4;3;3;3;2;4;0;5;4;3;3;3;1;1;1;2;5;3;3;2;6;0;0
"Deaths";"K-3002 Moss";"Males";"65-79 years";"January";10;5;7;7;8;6;9;10;6;12;5;5;6;6;7;6;10;8;6;9;10;16;3
"Deaths";"K-3002 Moss";"Males";"65-79 years";"February";9;7;6;3;2;10;4;4;7;6;5;6;5;2;5;8;7;8;12;11;6;6;15
"Deaths";"K-3002 Moss";"Males";"65-79 years";"March";7;9;5;3;8;8;7;7;3;6;4;3;5;9;7;5;10;8;9;7;9;8;13
"Deaths";"K-3002 Moss";"Males";"65-79 years";"April";2;7;6;7;2;6;9;2;6;5;3;7;6;6;6;8;4;6;8;4;7;1;8
"Deaths";"K-3002 Moss";"Males";"65-79 years";"May";8;7;4;4;3;5;2;8;5;5;11;3;1;5;9;7;4;6;11;8;9;5;4
"Deaths";"K-3002 Moss";"Males";"65-79 years";"June";4;7;5;6;5;10;7;7;9;3;2;2;3;6;4;4;7;9;6;6;2;5;0
"Deaths";"K-3002 Moss";"Males";"80 years or older";"January";12;7;9;11;8;8;9;7;8;6;8;16;6;9;8;14;4;12;10;13;12;8;15
"Deaths";"K-3002 Moss";"Males";"80 years or older";"February";4;8;7;5;5;9;6;5;10;15;5;12;11;7;8;15;11;11;11;7;8;12;6
"Deaths";"K-3002 Moss";"Males";"80 years or older";"March";14;4;5;5;9;7;4;9;10;8;9;8;9;10;8;7;5;5;13;11;6;7;11
"Deaths";"K-3002 Moss";"Males";"80 years or older";"April";5;6;6;12;8;6;6;2;6;7;8;7;6;6;11;12;6;6;9;11;13;7;8
"Deaths";"K-3002 Moss";"Males";"80 years or older";"May";5;6;5;8;8;9;4;9;4;7;5;4;4;7;1;6;9;10;3;10;10;9;7
"Deaths";"K-3002 Moss";"Males";"80 years or older";"June";10;10;5;5;8;2;5;9;8;7;6;9;5;6;2;8;7;10;7;13;5;5;0
"Deaths";"K-3002 Moss";"Females";"0-64 years";"January";3;1;3;3;2;2;2;4;3;3;4;6;0;0;2;1;2;2;0;3;3;2;4
"Deaths";"K-3002 Moss";"Females";"0-64 years";"February";5;0;4;1;3;2;1;5;1;6;3;1;3;4;1;2;0;0;1;1;4;1;1
"Deaths";"K-3002 Moss";"Females";"0-64 years";"March";3;1;6;2;4;0;5;1;0;4;4;6;3;1;3;1;5;1;0;2;6;2;1
"Deaths";"K-3002 Moss";"Females";"0-64 years";"April";1;0;5;1;2;2;1;2;5;4;1;3;4;2;2;3;2;0;0;1;3;2;0
"Deaths";"K-3002 Moss";"Females";"0-64 years";"May";1;1;1;5;0;6;1;3;3;2;2;1;3;1;1;2;0;0;2;0;3;4;2
"Deaths";"K-3002 Moss";"Females";"0-64 years";"June";2;4;1;5;2;3;3;1;1;1;2;4;2;3;2;2;1;1;0;1;2;1;0
"Deaths";"K-3002 Moss";"Females";"65-79 years";"January";7;6;4;5;9;3;4;4;2;3;5;3;4;4;4;8;10;2;1;4;6;8;4
"Deaths";"K-3002 Moss";"Females";"65-79 years";"February";3;7;3;7;8;4;2;3;4;6;4;6;4;5;4;7;6;5;14;8;3;8;5
"Deaths";"K-3002 Moss";"Females";"65-79 years";"March";8;4;6;3;6;6;4;2;7;3;7;3;6;2;7;6;5;9;3;7;2;8;2
"Deaths";"K-3002 Moss";"Females";"65-79 years";"April";3;10;6;7;1;5;5;4;2;5;5;3;5;6;6;6;1;5;3;3;8;7;7
"Deaths";"K-3002 Moss";"Females";"65-79 years";"May";7;5;3;3;5;3;6;2;5;1;1;4;4;5;2;8;3;3;5;5;4;1;2
"Deaths";"K-3002 Moss";"Females";"65-79 years";"June";1;10;8;1;2;4;6;5;2;5;2;2;9;6;5;7;4;10;4;4;12;4;0
"Deaths";"K-3002 Moss";"Females";"80 years or older";"January";11;21;13;9;13;7;4;13;11;14;14;18;11;18;17;19;14;17;12;14;15;10;21
"Deaths";"K-3002 Moss";"Females";"80 years or older";"February";15;12;12;15;11;15;13;6;11;8;14;9;19;12;8;11;15;6;19;16;13;7;11
"Deaths";"K-3002 Moss";"Females";"80 years or older";"March";12;11;12;12;16;14;9;9;13;5;11;12;11;16;13;11;10;10;16;13;16;10;15
"Deaths";"K-3002 Moss";"Females";"80 years or older";"April";7;16;13;12;7;11;8;7;10;5;5;12;13;12;9;13;13;8;9;9;8;12;7
"Deaths";"K-3002 Moss";"Females";"80 years or older";"May";9;13;8;7;21;9;4;9;8;13;12;11;15;8;8;15;12;8;12;8;6;7;13
"Deaths";"K-3002 Moss";"Females";"80 years or older";"June";12;4;10;9;5;11;10;7;11;8;8;14;21;9;9;6;12;6;10;8;9;11;0
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"January";6;5;3;2;6;9;3;5;1;8;4;5;3;6;2;2;5;2;2;1;2;6;1
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"February";2;8;0;3;6;4;2;7;9;4;6;0;8;4;5;3;5;5;4;5;5;5;3
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"March";4;5;1;6;5;5;3;4;4;6;10;5;4;1;2;4;4;4;5;1;1;3;3
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"April";2;3;5;3;2;4;3;9;2;1;3;1;2;5;2;3;4;6;4;1;3;4;3
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"May";5;9;7;3;1;4;2;8;4;2;4;2;6;1;1;2;4;5;4;4;5;0;2
"Deaths";"K-3003 Sarpsborg";"Males";"0-64 years";"June";3;2;7;3;3;3;2;5;6;6;6;2;4;3;5;1;3;4;3;4;3;4;0
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"January";10;8;7;14;8;6;12;7;4;8;13;9;9;9;2;6;11;4;8;7;6;11;7
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"February";7;8;7;11;3;7;3;7;4;7;4;4;7;6;18;8;6;5;6;4;4;7;7
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"March";9;4;5;9;12;3;6;11;3;9;8;5;10;14;5;4;5;5;8;5;10;8;7
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"April";9;10;7;12;9;9;3;7;12;11;8;8;7;13;5;4;6;9;12;7;6;5;5
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"May";8;8;10;11;11;3;6;12;9;5;6;10;4;3;10;4;5;8;5;11;6;8;16
"Deaths";"K-3003 Sarpsborg";"Males";"65-79 years";"June";11;7;11;4;5;9;5;8;8;4;8;11;0;10;10;5;8;4;5;6;10;7;0
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"January";8;5;6;10;11;8;10;10;7;11;8;8;4;12;7;14;9;12;9;11;8;12;9
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"February";11;9;5;18;7;8;10;11;8;8;12;11;11;13;9;9;8;13;9;7;7;10;9
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"March";10;8;14;3;8;7;13;12;8;5;8;5;18;13;11;11;7;10;9;4;12;7;14
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"April";6;8;7;9;9;8;8;9;7;10;9;7;8;9;8;13;8;11;8;9;13;12;11
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"May";9;9;12;12;5;11;7;5;11;4;5;13;7;11;14;15;4;11;12;7;14;8;16
"Deaths";"K-3003 Sarpsborg";"Males";"80 years or older";"June";12;5;7;4;11;10;4;11;12;13;9;10;9;12;7;5;6;13;13;9;5;9;0
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"January";3;0;3;5;2;2;3;0;5;4;2;6;6;1;3;5;3;0;2;2;3;1;2
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"February";5;4;1;1;3;4;2;1;4;2;3;5;1;2;1;4;3;4;2;4;2;3;4
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"March";5;4;1;3;1;5;5;6;4;3;2;2;3;2;3;6;1;4;0;2;1;3;2
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"April";3;2;2;3;3;5;3;6;2;2;3;5;3;2;1;0;2;0;3;0;2;2;3
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"May";2;4;5;4;3;2;0;5;3;3;2;1;3;2;4;2;1;4;4;3;4;1;2
"Deaths";"K-3003 Sarpsborg";"Females";"0-64 years";"June";2;1;3;3;3;1;2;3;1;4;4;1;0;1;3;0;3;0;2;3;0;2;0
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"January";10;9;12;5;4;6;2;5;10;7;1;7;5;8;6;3;6;5;6;2;2;8;5
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"February";7;6;5;7;6;8;3;3;5;2;8;1;5;8;2;2;10;4;5;4;7;2;11
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"March";4;4;7;7;7;3;5;10;1;4;5;5;6;4;4;7;8;10;8;5;5;5;16
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"April";1;5;6;8;6;4;4;2;5;2;5;4;4;8;6;8;6;7;4;3;2;6;5
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"May";9;6;6;4;5;10;3;4;3;7;3;0;2;7;9;5;5;4;4;5;7;4;5
"Deaths";"K-3003 Sarpsborg";"Females";"65-79 years";"June";4;7;6;6;4;5;3;6;2;7;5;3;7;4;8;4;2;7;4;7;2;2;0
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"January";25;20;18;25;15;11;17;12;13;12;9;11;15;11;24;20;15;18;20;8;18;17;17
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"February";15;12;12;21;11;18;14;17;18;23;13;22;23;12;17;21;16;12;13;11;18;10;13
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"March";13;11;18;19;16;21;7;11;18;22;12;19;21;14;20;18;16;17;13;12;11;8;19
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"April";17;15;15;19;18;16;19;8;11;10;19;11;15;11;13;20;13;11;17;10;16;7;15
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"May";11;14;9;16;16;18;11;16;7;16;10;22;11;9;11;13;9;17;12;21;11;10;13
"Deaths";"K-3003 Sarpsborg";"Females";"80 years or older";"June";11;9;16;13;10;17;12;15;10;8;13;10;12;12;13;13;12;14;9;11;17;13;0
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"January";6;4;6;10;7;3;6;4;7;10;11;7;6;3;2;9;1;1;6;7;3;3;6
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"February";5;5;5;6;5;8;4;10;4;5;7;4;9;3;7;5;7;6;1;6;3;1;4
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"March";6;9;8;5;7;9;4;7;4;3;4;3;3;3;4;4;4;2;5;5;10;4;7
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"April";10;5;7;9;3;6;12;7;7;3;2;3;1;8;4;5;4;4;3;5;1;6;6
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"May";10;6;6;3;8;5;10;5;7;8;5;6;4;8;3;5;5;5;5;3;7;4;1
"Deaths";"K-3004 Fredrikstad";"Males";"0-64 years";"June";2;5;6;5;4;8;3;9;4;7;3;4;6;6;9;5;5;1;6;5;9;5;0
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"January";20;16;13;11;5;15;17;7;6;15;6;4;9;10;9;13;11;9;7;12;10;8;14
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"February";4;7;13;10;16;11;7;10;3;11;9;9;15;10;9;9;13;13;12;9;8;11;11
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"March";9;9;9;10;10;11;8;11;13;10;13;9;9;9;10;13;10;10;8;11;12;10;13
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"April";9;9;8;15;6;12;7;11;6;8;8;5;10;21;4;7;13;13;11;14;9;7;8
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"May";7;12;20;6;8;7;14;6;8;10;16;6;14;11;7;6;10;6;12;9;8;21;6
"Deaths";"K-3004 Fredrikstad";"Males";"65-79 years";"June";14;14;23;6;10;17;8;11;6;11;10;10;11;5;7;10;6;8;12;7;14;10;0
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"January";21;14;17;20;10;14;12;16;15;22;14;14;13;18;12;15;11;30;18;14;21;10;17
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"February";17;14;14;12;12;14;15;18;13;22;13;12;17;8;6;13;11;13;11;16;13;13;25
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"March";14;11;13;16;13;23;20;14;11;18;19;10;11;21;13;16;21;13;21;10;11;19;15
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"April";12;23;18;18;5;17;14;8;15;16;14;10;9;7;12;10;15;11;11;12;12;20;14
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"May";6;12;9;12;11;15;16;9;18;13;18;19;10;13;19;13;17;6;14;13;11;8;9
"Deaths";"K-3004 Fredrikstad";"Males";"80 years or older";"June";19;16;6;9;11;12;6;8;12;15;8;12;4;14;8;7;14;16;14;13;8;9;0
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"January";5;1;2;2;5;5;5;5;7;3;2;2;4;2;4;4;4;7;4;2;5;3;6
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"February";4;4;6;3;1;4;5;9;4;4;4;1;6;5;4;3;3;2;2;0;3;3;6
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"March";0;2;4;5;5;3;3;4;5;8;2;1;2;6;6;5;4;4;7;2;5;1;4
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"April";4;6;2;4;4;3;4;7;3;2;4;3;4;5;5;6;3;6;5;7;3;5;5
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"May";3;1;4;6;3;2;2;3;5;3;1;1;5;4;4;2;4;5;1;5;3;6;3
"Deaths";"K-3004 Fredrikstad";"Females";"0-64 years";"June";4;3;2;4;2;3;3;2;2;3;1;3;5;2;4;1;3;6;6;4;2;1;0
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"January";10;5;17;10;10;9;4;7;8;6;7;6;6;12;5;6;11;10;8;12;9;10;8
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"February";14;8;6;9;5;6;7;11;6;4;6;6;8;4;6;6;6;7;4;7;5;3;7
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"March";8;7;8;5;11;9;8;6;7;4;7;8;11;9;6;12;11;6;11;12;9;9;10
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"April";5;9;9;11;9;7;10;5;8;2;10;8;8;11;9;5;9;3;10;5;10;10;7
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"May";7;7;10;6;3;9;6;11;8;4;9;9;7;8;7;9;6;9;7;9;4;15;11
"Deaths";"K-3004 Fredrikstad";"Females";"65-79 years";"June";11;8;9;7;9;4;11;6;6;5;7;6;7;6;4;12;8;9;6;4;7;10;0
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"January";33;20;20;36;25;39;21;23;33;26;25;21;20;17;30;29;26;25;24;31;25;21;19
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"February";21;22;16;17;19;15;12;32;23;18;22;24;30;24;27;23;16;29;22;22;20;20;14
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"March";22;18;22;26;12;25;20;25;28;19;20;22;19;30;20;27;19;12;23;14;24;27;19
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"April";21;22;26;20;22;20;25;14;22;34;18;16;20;17;27;18;20;18;20;19;23;19;34
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"May";20;19;19;13;17;20;20;23;15;20;17;25;15;20;22;16;18;19;24;22;20;17;15
"Deaths";"K-3004 Fredrikstad";"Females";"80 years or older";"June";19;21;15;13;13;24;27;19;26;27;19;20;19;11;38;21;27;17;22;14;15;18;0
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"January";8;8;9;8;7;12;10;7;7;13;6;5;8;2;4;7;9;8;6;7;7;5;7
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"February";9;9;5;7;9;6;7;5;6;5;10;7;6;3;5;6;5;6;9;6;6;6;5
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"March";5;14;5;9;7;4;11;11;13;9;6;6;2;7;9;2;11;3;6;5;5;4;4
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"April";10;4;2;5;9;11;9;5;11;11;7;7;7;5;6;6;10;1;3;6;5;5;4
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"May";8;5;8;6;6;4;7;8;6;10;5;8;7;6;6;5;7;8;5;6;9;7;2
"Deaths";"K-3005 Drammen";"Males";"0-64 years";"June";7;5;4;10;6;7;7;7;7;12;4;6;10;5;7;7;4;5;6;6;4;6;0
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"January";24;17;13;12;14;16;9;11;10;11;10;10;12;11;9;11;12;18;16;16;13;11;17
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"February";13;18;15;7;14;10;7;14;6;11;7;11;8;15;15;11;11;17;15;8;6;6;14
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"March";10;14;12;8;12;8;9;8;7;13;12;8;15;6;11;17;13;5;19;11;10;8;13
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"April";7;17;18;20;11;13;15;11;10;8;11;8;10;1;7;11;10;7;11;9;16;19;9
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"May";16;14;6;15;11;9;10;12;4;15;13;11;8;16;13;9;12;10;14;11;11;6;13
"Deaths";"K-3005 Drammen";"Males";"65-79 years";"June";11;12;13;13;14;10;6;10;6;10;14;14;8;11;11;11;10;11;12;11;17;12;0
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"January";14;15;18;17;16;15;17;21;15;17;15;16;11;20;16;17;12;15;21;15;17;20;23
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"February";22;8;15;18;18;9;13;13;18;12;17;15;16;12;7;9;20;19;12;14;14;23;18
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"March";17;16;8;11;17;9;17;17;19;11;21;8;23;14;12;22;13;19;16;12;16;15;25
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"April";6;10;15;7;9;20;13;19;10;18;10;15;18;18;18;12;9;13;11;22;20;12;14
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"May";13;15;9;10;14;14;16;10;9;7;12;17;14;6;12;10;9;11;9;17;17;10;15
"Deaths";"K-3005 Drammen";"Males";"80 years or older";"June";18;14;12;10;8;12;9;17;8;13;9;6;20;16;10;8;13;12;18;17;11;12;0
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"January";4;3;5;4;3;8;7;0;9;6;5;5;4;1;5;9;1;5;5;2;3;2;4
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"February";5;8;4;1;3;3;4;5;4;4;2;8;2;3;2;4;4;4;3;6;4;1;2
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"March";1;4;3;2;6;6;4;4;5;6;6;8;3;4;2;3;3;3;6;4;5;1;6
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"April";4;7;3;6;4;5;5;3;3;2;0;6;7;4;4;4;4;3;5;1;8;2;5
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"May";5;4;3;5;4;4;4;6;2;4;3;3;5;4;6;2;4;0;4;5;2;2;2
"Deaths";"K-3005 Drammen";"Females";"0-64 years";"June";2;4;3;9;4;3;5;5;5;5;2;10;4;5;3;3;2;3;6;0;0;1;0
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"January";13;12;6;11;7;8;9;8;5;11;12;7;11;7;9;11;14;5;14;4;5;12;10
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"February";7;12;6;2;5;10;12;4;8;5;9;10;7;16;5;7;10;7;4;10;14;8;8
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"March";13;6;13;10;5;11;14;5;5;7;8;6;5;7;12;8;8;6;10;8;6;16;12
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"April";11;5;7;11;3;6;3;10;9;2;6;10;8;5;10;10;3;14;6;11;10;4;17
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"May";9;4;11;7;7;9;8;8;9;9;11;9;8;10;4;9;14;7;6;7;11;3;9
"Deaths";"K-3005 Drammen";"Females";"65-79 years";"June";12;6;4;8;3;6;5;4;5;6;5;5;9;7;5;13;4;6;8;7;11;14;0
"Deaths";"K-3005 Drammen";"Females";"80 years or older";"January";41;28;27;31;25;16;20;37;38;34;18;26;28;32;16;31;24;36;37;16;27;30;28
"Deaths";"K-3005 Drammen";"Females";"80 years or older";"February";23;22;29;13;21;21;12;21;23;24;23;23;26;22;16;31;16;22;35;11;17;25;26
